sha,date,todo,revisit,fixme
9688152,2023-09-29T13:46:03+02:00,62,110,4
f5f5954,2023-09-29T13:59:00+02:00,62,110,4
b2fe5d9,2023-09-29T14:00:17+02:00,66,109,4
4ae0f5e,2023-09-29T14:14:23+02:00,61,111,4
d121fb2,2023-10-02T11:15:56+02:00,108,108,4
e0c3636,2023-10-05T16:06:37+02:00,61,110,4
cb30b99,2023-10-05T16:10:22+02:00,62,110,4
ea7077b,2023-10-05T14:46:50+00:00,61,110,4
dc21173,2023-10-06T09:56:09+02:00,61,111,4
fa65446,2023-10-06T12:07:03+02:00,61,111,4
0b9efc7,2023-10-06T12:34:52+02:00,61,111,4
36a4ab6,2023-10-06T13:01:02+02:00,61,112,4
27e187f,2023-10-06T13:27:09+02:00,61,111,4
7f28bc8,2023-10-06T13:30:11+02:00,62,112,4
8ed52e4,2023-10-06T13:34:06+02:00,61,111,4
435b4a8,2023-10-09T09:08:30+02:00,61,111,4
4d58ed9,2023-10-09T09:36:39+02:00,61,111,4
bd324ed,2023-10-09T13:32:09+02:00,61,111,4
59bd9ee,2023-10-09T16:50:42+02:00,61,111,4
52869aa,2023-10-10T09:10:24+02:00,61,111,4
0f4829c,2023-10-11T11:44:56+02:00,61,111,4
d4c4c16,2023-10-11T14:03:57+02:00,61,111,4
c98fbbb,2023-10-11T15:39:34+02:00,61,111,4
4bc76e0,2023-10-11T15:41:14+02:00,61,111,4
a444f78,2023-10-12T10:18:40+02:00,61,111,4
2b28804,2023-10-12T10:27:19+02:00,61,111,4
97925df,2023-10-12T10:35:03+02:00,61,111,4
8051c9f,2023-10-13T13:34:42+02:00,61,111,4
43937b5,2023-10-13T13:45:24+02:00,61,111,4
be0e6b3,2023-10-13T14:06:54+02:00,61,111,4
b93e527,2023-10-13T14:07:20+02:00,61,111,4
b0bc320,2023-10-13T14:52:48+02:00,61,111,4
e8c7838,2023-10-13T14:55:55+02:00,61,111,4
23bef24,2023-10-13T14:58:12+02:00,61,114,4
b688bad,2023-10-13T15:01:57+02:00,61,114,4
0818c44,2023-10-13T15:18:34+02:00,61,114,4
75278fe,2023-10-13T15:24:50+02:00,61,114,4
c4248ef,2023-10-13T15:34:18+02:00,61,114,4
c97d78a,2023-10-13T15:37:12+02:00,61,114,4
63660d4,2023-10-13T15:46:15+02:00,61,114,4
89d06d0,2023-10-13T20:05:37+02:00,61,114,4
f02b4d7,2023-10-13T20:07:10+02:00,61,114,4
649fc54,2023-10-13T20:12:43+02:00,61,114,4
461bc80,2023-10-13T20:15:02+02:00,61,114,4
55dcf46,2023-10-13T20:22:31+02:00,61,114,4
2de5f61,2023-10-13T20:27:08+02:00,61,114,4
0764f89,2023-10-13T20:32:16+02:00,61,114,4
4759d45,2023-10-13T20:34:53+02:00,61,114,4
0e6d49a,2023-10-13T20:39:04+02:00,61,114,4
a852912,2023-10-13T20:40:52+02:00,61,114,4
76e7008,2023-10-13T20:42:51+02:00,61,114,4
f97d295,2023-10-13T20:45:33+02:00,61,114,4
30ae83b,2023-10-13T20:47:09+02:00,61,114,4
1f06a4a,2023-10-13T20:52:04+02:00,61,114,4
efc7fe2,2023-10-13T20:54:40+02:00,61,117,4
964f0dc,2023-10-13T20:58:01+02:00,61,117,4
ea485c7,2023-10-16T11:56:02+02:00,61,117,4
861400a,2023-10-17T13:05:35+02:00,61,117,4
76bdc33,2023-10-17T18:40:02+02:00,61,117,4
3aa5414,2023-10-18T08:01:00+00:00,61,118,4
f89358e,2023-10-18T10:40:55+02:00,62,118,4
4d71ca3,2023-10-19T12:41:53+02:00,61,118,4
a7a0ed6,2023-10-19T12:50:09+02:00,61,118,4
0a1b779,2023-10-19T12:50:21+02:00,61,118,4
1453eb1,2023-10-19T14:31:15+02:00,61,117,4
159251f,2023-10-19T13:59:55+00:00,61,117,4
1c419b6,2023-10-20T13:16:36+02:00,61,118,4
8fd6153,2023-10-20T13:26:23+02:00,61,118,4
